Time, Data
1.70095e+09,0.916519,81726.1
1.70095e+09,0.900888,81726.1
1.70095e+09,0.864378,81726.1
1.70095e+09,0.845872,81726.1
1.70095e+09,0.827414,81726.1
1.70095e+09,0.806498,81726.1
1.70095e+09,0.748348,81726.1
1.70095e+09,0.722997,81726.1
1.70095e+09,0.696035,81726.1
1.70095e+09,0.672159,81726.1
1.70095e+09,0.642665,81726.1
1.70095e+09,0.599319,81726.1
1.70095e+09,0.554993,81726.1
1.70095e+09,0.525831,81726.1
1.70095e+09,0.487182,81726.1
1.70095e+09,0.44647,81726.1
1.70095e+09,0.390431,81726.1
1.70095e+09,0.334605,81726.1
1.70095e+09,0.281509,81726.1
1.70095e+09,0.239698,81726.1
1.70095e+09,-0.948046,81726.1
1.70095e+09,-0.954155,81726.1
1.70095e+09,-0.964504,81726.1
1.70095e+09,-0.973114,81726.1
1.70095e+09,-0.982055,81726.1
1.70095e+09,-0.989752,81726.1
1.70095e+09,-0.996844,81726.1
1.70095e+09,-0.999707,81726.1
1.70095e+09,-0.99988,81726.1
1.70095e+09,-0.998481,81726.1
1.70095e+09,-0.995483,81726.1
1.70095e+09,-0.989157,81726.1
1.70095e+09,-0.977742,81726.1
1.70095e+09,-0.968483,81726.1
1.70095e+09,-0.956716,81726.1
1.70095e+09,-0.944578,81726.1
1.70095e+09,-0.930938,81726.1
1.70095e+09,-0.902656,81726.1
1.70095e+09,-0.881446,81726.1
1.70095e+09,-0.862134,81726.1
1.70095e+09,-0.839849,81726.1
1.70095e+09,-0.800791,81726.1
1.70095e+09,-0.776166,81726.1
1.70095e+09,-0.750514,81726.1
1.70095e+09,-0.724363,81726.1
1.70095e+09,-0.694222,81726.1
1.70095e+09,-0.652468,81726.1
1.70095e+09,-0.612789,81726.1
1.70095e+09,-0.579519,81726.1
1.70095e+09,-0.546171,81726.1
1.70095e+09,-0.512389,81726.1
1.70095e+09,-0.475895,81726.1
1.70095e+09,-0.404568,81726.1
1.70095e+09,-0.352275,81726.1
1.70095e+09,-0.307689,81726.1
1.70095e+09,-0.265972,81726.1
1.70095e+09,-0.221798,81726.1
1.70095e+09,-0.166863,81726.1
1.70095e+09,-0.0982932,81726.1
1.70095e+09,-0.049496,81726.1
1.70095e+09,-0.00670099,81726.1
1.70095e+09,0.037451,81726.1
